id,anchor,target,context,score,sim
37d61fd2272659b1,abatement,abatement of pollution,A47,0.5,0.805244
7b9652b17b68b7a4,abatement,act of abating,A47,0.75,0.912372
36d72442aefd8232,abatement,active catalyst,A47,0.25,0.6530798
5296b0c19e1ce60e,abatement,eliminating process,A47,0.5,0.7955824
54c1e3b9184cb5b6,abatement,forest region,A47,0.0,0.43200934
067203128142739c,abatement,greenhouse gases,A47,0.25,0.52262205
061d17f04be2d1cf,abatement,increased rate,A47,0.25,0.52162033
e1f44e48399a2027,abatement,measurement level,A47,0.25,0.6776634
0a425937a3e86d10,abatement,minimising sounds,A47,0.5,0.7914976
ef2d4c2e6bbb208d,abatement,mixing core materials,A47,0.25,0.6186133
4c3f2750e7540ab7,abatement,multi pollution abatement device,A47,0.5,0.65105814
84261a11e5d1b68b,abatement,noise reduction,A47,0.5,0.7407091
bfd7270f57530991,abatement,pollution abatement,A47,0.5,0.81375414
b3832eac81b73dfd,abatement,pollution abatement incinerator,A47,0.5,0.64026344
9001756895ec8ca1,abatement,pollution certificate,A47,0.0,0.6576098
cc96541d4987b399,abatement,rent abatement,A47,0.0,0.8245505
deb9204cd9783e8b,abatement,sorbent material,A47,0.25,0.63828754
45db77f26e5ac39f,abatement,source items pollution abatement technology,A47,0.5,0.6710669
1222e36d9a94c2a4,abatement,stone abutments,A47,0.0,0.42791823
a8c9e9f37d4d836a,abatement,tax abatement,A47,0.0,0.7019819
c450cc69fa315db9,abatement,water bodies,A47,0.0,0.55616593
4603e13580940257,adhesive mounting,adhering mount,A47,0.75,0.71716815
604210b7c7ce2f6a,adhesive mounting,adhesive,A47,0.5,0.9536778
44cbf2111c2c64d2,adhesive mounting,adhesive attachment,A47,0.5,0.9530235
6a6a3892e7163781,adhesive mounting,adhesive bases,A47,0.5,0.91817206
14040ba79a8eaf1c,adhesive mounting,adhesive forces,A47,0.0,0.8781867
c243b889832efd48,adhesive mounting,adhesive layer,A47,0.5,0.94445735
7920ba9fb0bf4578,adhesive mounting,adhesive mount,A47,1.0,0.96780485
c41067454973a281,adhesive mounting,bracket mount,A47,0.25,0.6687533
7f028ab59b51e8bc,adhesive mounting,cohesive mount,A47,0.5,0.7566935
850aecd06bbf71e0,adhesive mounting,fixation tape,A47,0.25,0.6921937
29e5c85847547fc6,adhesive mounting,fixed mount,A47,0.25,0.58408743
866dc5b03c941ba6,adhesive mounting,flange,A47,0.25,0.7105257
8ecccb4d676ae87b,adhesive mounting,flange comprising including,A47,0.25,0.7341695
